Sample.ID,Chinook.c.ul,Chinook.c.uL.lower,Chinook.c.uL.upper,Chinook.c.well,Chinook.c.well.lower,Chinook.c.well.upper,C.shasta.c.uL,C.shasta.c.uL.lower,C.shasta.c.uL.upper,C.shasta.c.well,C.shasta.c.well.lower,C.shasta.c.well.upper,Accepted.Droplets,Velocity.0.8,Velocity.0.6,Velocity.0.2,Point.Depth,Volume..ml.,Distance.Left.Bank.ft.,Distance.From.Shore,Site,Type,Q.cfs,Q.L.s,Q.,SubQ..L.s.,JulDay,Elution.volum..uL.,DistanceFromShore.m,Distance.Left.Bank.m,Width.Interval,Width.Interval.Round.m,Chinook.vol.cor.conc,C.shasta.vol.cor.conc,SiteN,Meters,V.M.,D.M.,DistanceFromShore.m.z,D.M..z,V.M..z,Chinook.vol.cor.conc.z,D.thal.m,Type01
BVR_G_01,1.17,0.672,1.87,23.4,13.44,37.4,288,278,298,5755,5560,5960,15067,0,0,0,0,950,6.56168,6.56168,BVR,G,1311.080629,37125.60796,0,0,109,100,2.000000064,2.000000064,2.000000064,2,148200000,36448333333,4,300533,0,0,2.000000064,-0.843548645,-2.080687167,-0.709392712,12,0
BVR_G_02,0.707,0.337,1.28,14.1,6.74,25.6,157,149,164,3132,2980,3280,14974,0.385266667,1.193693333,1.193693333,0,920,16.4042,16.4042,BVR,G,1311.080629,37125.60796,5.471355358,2031.27394,109,100,5.00000016,5.00000016,3.000000096,3,86480000,19209600000,4,300533,0.363837728,0,5.00000016,-0.843548645,-1.210431983,-0.818988324,9,0
BVR_G_03,2.78,1.9,3.9,55.6,38,78,735,716,754,14697,14320,15080,12714,0.67924,1.34068,1.56116,0,1150,26.24672,26.24672,BVR,G,1311.080629,37125.60796,7.897751431,2932.088234,109,100,8.000000256,8.000000256,3.000000096,3,426266666.7,1.13E+11,4,300533,0.408639264,0,8.000000256,-0.843548645,-1.103272208,-0.215632399,6,0
BVR_G_04,0,0,0.255,0,0,5.1,155,147,162,3092,2940,3240,13812,1.928626667,2.075613333,2.66356,0,1180,36.08924,36.08924,BVR,G,1311.080629,37125.60796,13.94815771,5178.338349,109,100,11.00000035,11.00000035,3.000000094,3,0,24323733333,4,300533,0.632646944,0,11.00000035,-0.843548645,-0.567473335,-0.972550031,3,0
BVR_G_05,3.44,2.53,4.55,68.8,50.6,91,524,510,538,10477,10200,10760,15417,1.928626667,2.44308,2.590066667,0,1000,45.93176,45.93176,BVR,G,1311.080629,37125.60796,13.76776815,5111.367628,109,100,14.00000045,14.00000045,3.0000001,3,458666666.7,69846666667,4,300533,0.744650784,0,14.00000045,-0.843548645,-0.299573898,-0.15810003,0,0
BVR_G_06,5.27,4.04,6.74,105,80.8,134.8,702,684,720,14040,13680,14400,13192,1.928626667,2.44308,2.737053333,0,1250,55.77428,55.77428,BVR,G,1311.080629,37125.60796,11.83172014,4392.598034,109,100,17.00000054,17.00000054,3.00000009,3,8.75E+08,1.17E+11,4,300533,0.744650784,0,17.00000054,-0.843548645,-0.299573898,0.581179077,3,0
BVR_G_07,5.83,4.57,7.3,117,91.4,146,764,746,783,15284,14920,15660,14362,1.928626667,2.66356,2.957533333,0,1000,65.6168,65.6168,BVR,G,1311.080629,37125.60796,10.73421227,3985.141565,109,100,20.00000064,20.00000064,3.0000001,3,7.80E+08,1.02E+11,4,300533,0.811853088,0,20.00000064,-0.843548645,-0.138834236,0.412488489,6,0
BVR_G_08,2.76,1.94,3.78,55.2,38.8,75.6,594,579,610,11889,11580,12200,14935,2.44308,2.590066667,3.10452,0,960,75.45932,55.77428,BVR,G,1311.080629,37125.60796,9.664204707,3587.894752,109,100,17.00000054,23.00000074,3.0000001,3,353280000,76089600000,4,300533,0.78945232,0,17.00000054,-0.843548645,-0.192414123,-0.345234123,9,0
BVR_G_09,3.17,2.24,4.33,63.5,44.8,86.6,440,427,454,8806,8540,9080,13360,2.578212903,2.66356,2.810546667,0,1250,82.021,49.2126,BVR,G,1311.080629,37125.60796,5.899377064,2190.179601,109,100,15.00000048,25.0000008,2.00000006,2,529166666.7,73383333333,4,300533,0.811853088,0,15.00000048,-0.843548645,-0.138834236,-0.032913856,11,0
BVR_G_10,3.09,2.12,4.31,61.8,42.4,86.2,316,305,328,6330,6100,6560,11820,2.590066667,2.590066667,2.810546667,0,450,91.86352,39.37008,BVR,G,1311.080629,37125.60796,7.744579408,2875.222189,109,100,12.00000038,28.0000009,3.0000001,3,185400000,1.90E+10,4,300533,0.78945232,0,12.00000038,-0.843548645,-0.192414123,-0.643337029,14,0
